2023-05-30 09:50:35.333[1685418635333] | INFO  | main       | com.app.StartApp                     - Starting StartApp using Java 18.0.2 with PID 7776 (G:\project\Idea\DeveloptProjects\Terminal_For_Position\Application\target\classes started by AdminPC in G:\project\Idea\DeveloptProjects\Terminal_For_Position)
2023-05-30 09:50:35.336[1685418635336] | INFO  | main       | com.app.StartApp                     - No active profile set, falling back to 1 default profile: "default"
2023-05-30 09:50:36.072[1685418636072] | INFO  | main       | com.app.StartApp                     - Started StartApp in 1.03 seconds (process running for 2.369)
2023-05-30 09:50:37.683[1685418637683] | INFO  | JavaFX Application Thread | com.app.userSettings.AppSettings     - Файл userSettings.txt найден, настройки загружены.
2023-05-30 15:05:03.541[1685437503541] | INFO  | main       | com.app.StartApp                     - Starting StartApp using Java 18.0.2 with PID 8868 (G:\project\Idea\DeveloptProjects\Terminal_For_Position\Application\target\classes started by AdminPC in G:\project\Idea\DeveloptProjects\Terminal_For_Position)
2023-05-30 15:05:03.542[1685437503542] | INFO  | main       | com.app.StartApp                     - No active profile set, falling back to 1 default profile: "default"
2023-05-30 15:05:04.037[1685437504037] | INFO  | main       | com.app.StartApp                     - Started StartApp in 0.769 seconds (process running for 1.424)
2023-05-30 15:05:04.434[1685437504434] | INFO  | JavaFX Application Thread | com.app.userSettings.AppSettings     - Файл userSettings.txt найден, настройки загружены.
2023-05-30 15:13:52.009[1685438032009] | INFO  | main       | com.app.StartApp                     - Starting StartApp using Java 18.0.2 with PID 10820 (G:\project\Idea\DeveloptProjects\Terminal_For_Position\Application\target\classes started by AdminPC in G:\project\Idea\DeveloptProjects\Terminal_For_Position)
2023-05-30 15:13:52.011[1685438032011] | INFO  | main       | com.app.StartApp                     - No active profile set, falling back to 1 default profile: "default"
2023-05-30 15:13:52.503[1685438032503] | INFO  | main       | com.app.StartApp                     - Started StartApp in 0.784 seconds (process running for 1.412)
2023-05-30 15:13:52.914[1685438032914] | INFO  | JavaFX Application Thread | com.app.userSettings.AppSettings     - Файл userSettings.txt найден, настройки загружены.
2023-05-30 16:48:11.206[1685443691206] | INFO  | main       | com.app.StartApp                     - Starting StartApp using Java 18.0.2 with PID 12216 (G:\project\Idea\DeveloptProjects\Terminal_For_Position\Application\target\classes started by AdminPC in G:\project\Idea\DeveloptProjects\Terminal_For_Position)
2023-05-30 16:48:11.208[1685443691208] | INFO  | main       | com.app.StartApp                     - No active profile set, falling back to 1 default profile: "default"
2023-05-30 16:48:11.731[1685443691731] | INFO  | main       | com.app.StartApp                     - Started StartApp in 0.796 seconds (process running for 1.401)
2023-05-30 16:48:12.171[1685443692171] | INFO  | JavaFX Application Thread | com.app.userSettings.AppSettings     - Файл userSettings.txt найден, настройки загружены.
2023-05-30 16:49:12.948[1685443752948] | INFO  | main       | com.app.StartApp                     - Starting StartApp using Java 18.0.2 with PID 5924 (G:\project\Idea\DeveloptProjects\Terminal_For_Position\Application\target\classes started by AdminPC in G:\project\Idea\DeveloptProjects\Terminal_For_Position)
2023-05-30 16:49:12.950[1685443752950] | INFO  | main       | com.app.StartApp                     - No active profile set, falling back to 1 default profile: "default"
2023-05-30 16:49:13.497[1685443753497] | INFO  | main       | com.app.StartApp                     - Started StartApp in 0.828 seconds (process running for 1.434)
2023-05-30 16:49:13.902[1685443753902] | INFO  | JavaFX Application Thread | com.app.userSettings.AppSettings     - Файл userSettings.txt найден, настройки загружены.
2023-05-30 16:49:23.003[1685443763003] | INFO  | JavaFX Application Thread | com.app.userSettings.AppSettings     - Настройки сохранены в файл userSettings.txt
2023-05-30 16:49:42.589[1685443782589] | INFO  | main       | com.app.StartApp                     - Starting StartApp using Java 18.0.2 with PID 9656 (G:\project\Idea\DeveloptProjects\Terminal_For_Position\Application\target\classes started by AdminPC in G:\project\Idea\DeveloptProjects\Terminal_For_Position)
2023-05-30 16:49:42.592[1685443782592] | INFO  | main       | com.app.StartApp                     - No active profile set, falling back to 1 default profile: "default"
2023-05-30 16:49:43.146[1685443783146] | INFO  | main       | com.app.StartApp                     - Started StartApp in 0.914 seconds (process running for 1.856)
2023-05-30 16:49:43.600[1685443783600] | INFO  | JavaFX Application Thread | com.app.userSettings.AppSettings     - Файл userSettings.txt найден, настройки загружены.
2023-05-30 16:50:38.101[1685443838101] | INFO  | main       | com.app.StartApp                     - Starting StartApp using Java 18.0.2 with PID 12356 (G:\project\Idea\DeveloptProjects\Terminal_For_Position\Application\target\classes started by AdminPC in G:\project\Idea\DeveloptProjects\Terminal_For_Position)
2023-05-30 16:50:38.103[1685443838103] | INFO  | main       | com.app.StartApp                     - No active profile set, falling back to 1 default profile: "default"
2023-05-30 16:50:38.560[1685443838560] | INFO  | main       | com.app.StartApp                     - Started StartApp in 0.736 seconds (process running for 1.472)
2023-05-30 16:50:38.961[1685443838961] | INFO  | JavaFX Application Thread | com.app.userSettings.AppSettings     - Файл userSettings.txt найден, настройки загружены.
2023-05-30 16:50:41.803[1685443841803] | INFO  | Thread-6   | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/fapi/v1/exchangeInfo
2023-05-30 16:50:43.218[1685443843218] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 16:56:00.055[1685444160055] | INFO  | main       | com.app.StartApp                     - Starting StartApp using Java 18.0.2 with PID 11912 (G:\project\Idea\DeveloptProjects\Terminal_For_Position\Application\target\classes started by AdminPC in G:\project\Idea\DeveloptProjects\Terminal_For_Position)
2023-05-30 16:56:00.058[1685444160058] | INFO  | main       | com.app.StartApp                     - No active profile set, falling back to 1 default profile: "default"
2023-05-30 16:56:00.589[1685444160589] | INFO  | main       | com.app.StartApp                     - Started StartApp in 0.842 seconds (process running for 1.618)
2023-05-30 16:56:01.038[1685444161038] | INFO  | JavaFX Application Thread | com.app.userSettings.AppSettings     - Файл userSettings.txt найден, настройки загружены.
2023-05-30 16:56:06.817[1685444166817] | INFO  | Thread-6   | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/fapi/v1/exchangeInfo
2023-05-30 16:57:02.504[1685444222504] | INFO  | main       | com.app.StartApp                     - Starting StartApp using Java 18.0.2 with PID 11112 (G:\project\Idea\DeveloptProjects\Terminal_For_Position\Application\target\classes started by AdminPC in G:\project\Idea\DeveloptProjects\Terminal_For_Position)
2023-05-30 16:57:02.506[1685444222506] | INFO  | main       | com.app.StartApp                     - No active profile set, falling back to 1 default profile: "default"
2023-05-30 16:57:03.011[1685444223011] | INFO  | main       | com.app.StartApp                     - Started StartApp in 0.812 seconds (process running for 1.528)
2023-05-30 16:57:03.443[1685444223443] | INFO  | JavaFX Application Thread | com.app.userSettings.AppSettings     - Файл userSettings.txt найден, настройки загружены.
2023-05-30 16:57:10.470[1685444230470] | INFO  | Thread-6   | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/fapi/v1/exchangeInfo
